pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set
X1P46N1AFD4	46	X1P46N1AFD4	4	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D4_Feces_control
X1P46N1AFD7	46	X1P46N1AFD7	7	1A	1	X1	Feces	control	1215	4	1/27/2016	M	6.9	14	1A	D7_Feces_control
X1P47N1BCD14	47	X1P47N1BCD14	14	1B	1	X1	Colon	control	1214	4	1/30/2016	F	4.4	14	1B	D14_Colon_control
X1P47N1BFD0	47	X1P47N1BFD0	0	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D0_Feces_control
X1P47N1BFD11	47	X1P47N1BFD11	11	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D11_Feces_control
X1P47N1BFD14	47	X1P47N1BFD14	14	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D14_Feces_control
X1P47N1BFD4	47	X1P47N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D4_Feces_control
X1P47N1BFD7	47	X1P47N1BFD7	7	1B	1	X1	Feces	control	1214	4	1/30/2016	F	4.4	14	1B	D7_Feces_control
X1P47N1BID14	47	X1P47N1BID14	14	1B	1	X1	Ileum	control	1214	4	1/30/2016	F	4.4	14	1B	D14_Ileum_control
X1P48N1BFD0	48	X1P48N1BFD0	0	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D0_Feces_control
X1P48N1BFD11	48	X1P48N1BFD11	11	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D11_Feces_control
X1P48N1BFD14	48	X1P48N1BFD14	14	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D14_Feces_control
X1P48N1BFD4	48	X1P48N1BFD4	4	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D4_Feces_control
X1P48N1BFD7	48	X1P48N1BFD7	7	1B	1	X1	Feces	control	1210	5	1/27/2016	M	6.9	14	1B	D7_Feces_control
X1P48N1BID14	48	X1P48N1BID14	14	1B	1	X1	Ileum	control	1210	5	1/27/2016	M	6.9	14	1B	D14_Ileum_control
X1P49N1BCD14	49	X1P49N1BCD14	14	1B	1	X1	Colon	control	1213	5	1/29/2016	M	4.9	14	1B	D14_Colon_control
X1P49N1BFD0	49	X1P49N1BFD0	0	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D0_Feces_control
X1P49N1BFD11	49	X1P49N1BFD11	11	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D11_Feces_control
X1P49N1BFD14	49	X1P49N1BFD14	14	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D14_Feces_control
X1P49N1BFD4	49	X1P49N1BFD4	4	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D4_Feces_control
X1P49N1BFD7	49	X1P49N1BFD7	7	1B	1	X1	Feces	control	1213	5	1/29/2016	M	4.9	14	1B	D7_Feces_control
X1P49N1BID14	49	X1P49N1BID14	14	1B	1	X1	Ileum	control	1213	5	1/29/2016	M	4.9	14	1B	D14_Ileum_control
X1P50N1BCD4	50	X1P50N1BCD4	4	1B	1	X1	Colon	control	1211	2	1/30/2016	M	5.1	14	1B	D4_Colon_control
X1P50N1BFD0	50	X1P50N1BFD0	0	1B	1	X1	Feces	control	1211	2	1/30/2016	M	5.1	14	1B	D0_Feces_control
X1P50N1BFD4	50	X1P50N1BFD4	4	1B	1	X1	Feces	control	1211	2	1/30/2016	M	5.1	14	1B	D4_Feces_control
X1P50N1BID4	50	X1P50N1BID4	4	1B	1	X1	Ileum	control	1211	2	1/30/2016	M	5.1	14	1B	D4_Ileum_control
X1P51N2ACD14	51	X1P51N2ACD14	14	2A	2	X1	Colon	inject	1208	1	1/29/2016	F	7.6	14	2A	D14_Colon_inject
X1P51N2AFD11	51	X1P51N2AFD11	11	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D11_Feces_inject
X1P51N2AFD14	51	X1P51N2AFD14	14	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D14_Feces_inject
X1P51N2AFD4	51	X1P51N2AFD4	4	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D4_Feces_inject
X1P51N2AFD7	51	X1P51N2AFD7	7	2A	2	X1	Feces	inject	1208	1	1/29/2016	F	7.6	14	2A	D7_Feces_inject
X1P51N2AID14	51	X1P51N2AID14	14	2A	2	X1	Ileum	inject	1208	1	1/29/2016	F	7.6	14	2A	D14_Ileum_inject
X1P52N2ACD14	52	X1P52N2ACD14	14	2A	2	X1	Colon	inject	1206	1	1/31/2016	F	3.8	14	2A	D14_Colon_inject
X1P52N2AFD0	52	X1P52N2AFD0	0	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D0_Feces_inject
X1P52N2AFD11	52	X1P52N2AFD11	11	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D11_Feces_inject
X1P52N2AFD14	52	X1P52N2AFD14	14	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D14_Feces_inject
X1P52N2AFD4	52	X1P52N2AFD4	4	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D4_Feces_inject
X1P52N2AFD7	52	X1P52N2AFD7	7	2A	2	X1	Feces	inject	1206	1	1/31/2016	F	3.8	14	2A	D7_Feces_inject
X1P52N2AID14	52	X1P52N2AID14	14	2A	2	X1	Ileum	inject	1206	1	1/31/2016	F	3.8	14	2A	D14_Ileum_inject
X1P53N2ACD14	53	X1P53N2ACD14	14	2A	2	X1	Colon	inject	1212	3	1/31/2016	F	5.5	14	2A	D14_Colon_inject
X1P53N2AFD11	53	X1P53N2AFD11	11	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D11_Feces_inject
X1P53N2AFD14	53	X1P53N2AFD14	14	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D14_Feces_inject
X1P53N2AFD4	53	X1P53N2AFD4	4	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D4_Feces_inject
X1P53N2AFD7	53	X1P53N2AFD7	7	2A	2	X1	Feces	inject	1212	3	1/31/2016	F	5.5	14	2A	D7_Feces_inject
X1P53N2AID14	53	X1P53N2AID14	14	2A	2	X1	Ileum	inject	1212	3	1/31/2016	F	5.5	14	2A	D14_Ileum_inject
X1P54N2ACD14	54	X1P54N2ACD14	14	2A	2	X1	Colon	inject	1209	3	1/30/2016	M	7.2	14	2A	D14_Colon_inject
X1P54N2AFD0	54	X1P54N2AFD0	0	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D0_Feces_inject
X1P54N2AFD11	54	X1P54N2AFD11	11	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D11_Feces_inject
X1P54N2AFD14	54	X1P54N2AFD14	14	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D14_Feces_inject
X1P54N2AFD4	54	X1P54N2AFD4	4	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D4_Feces_inject
X1P54N2AFD7	54	X1P54N2AFD7	7	2A	2	X1	Feces	inject	1209	3	1/30/2016	M	7.2	14	2A	D7_Feces_inject
X1P54N2AID14	54	X1P54N2AID14	14	2A	2	X1	Ileum	inject	1209	3	1/30/2016	M	7.2	14	2A	D14_Ileum_inject
X1P55N2BCD14	55	X1P55N2BCD14	14	2B	2	X1	Colon	inject	1215	4	1/27/2016	F	6.3	14	2B	D14_Colon_inject
X1P55N2BFD0	55	X1P55N2BFD0	0	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D0_Feces_inject
X1P55N2BFD11	55	X1P55N2BFD11	11	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D11_Feces_inject
X1P55N2BFD14	55	X1P55N2BFD14	14	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D14_Feces_inject
X1P55N2BFD7	55	X1P55N2BFD7	7	2B	2	X1	Feces	inject	1215	4	1/27/2016	F	6.3	14	2B	D7_Feces_inject
X1P55N2BID14	55	X1P55N2BID14	14	2B	2	X1	Ileum	inject	1215	4	1/27/2016	F	6.3	14	2B	D14_Ileum_inject
X1P56N2BCD14	56	X1P56N2BCD14	14	2B	2	X1	Colon	inject	1214	4	1/30/2016	M	6.4	14	2B	D14_Colon_inject
X1P56N2BFD0	56	X1P56N2BFD0	0	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D0_Feces_inject
X1P56N2BFD11	56	X1P56N2BFD11	11	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D11_Feces_inject
X1P56N2BFD14	56	X1P56N2BFD14	14	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D14_Feces_inject
X1P56N2BFD4	56	X1P56N2BFD4	4	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D4_Feces_inject
X1P56N2BFD7	56	X1P56N2BFD7	7	2B	2	X1	Feces	inject	1214	4	1/30/2016	M	6.4	14	2B	D7_Feces_inject
X1P57N2BCD14	57	X1P57N2BCD14	14	2B	2	X1	Colon	inject	1210	5	1/27/2016	M	4.7	14	2B	D14_Colon_inject
X1P57N2BFD0	57	X1P57N2BFD0	0	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D0_Feces_inject
X1P57N2BFD11	57	X1P57N2BFD11	11	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D11_Feces_inject
X1P57N2BFD14	57	X1P57N2BFD14	14	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D14_Feces_inject
X1P57N2BFD4	57	X1P57N2BFD4	4	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D4_Feces_inject
X1P57N2BFD7	57	X1P57N2BFD7	7	2B	2	X1	Feces	inject	1210	5	1/27/2016	M	4.7	14	2B	D7_Feces_inject
X1P57N2BID14	57	X1P57N2BID14	14	2B	2	X1	Ileum	inject	1210	5	1/27/2016	M	4.7	14	2B	D14_Ileum_inject
X1P58N2BCD14	58	X1P58N2BCD14	14	2B	2	X1	Colon	inject	1213	5	1/29/2016	M	3.7	14	2B	D14_Colon_inject
X1P58N2BFD11	58	X1P58N2BFD11	11	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D11_Feces_inject
X1P58N2BFD14	58	X1P58N2BFD14	14	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D14_Feces_inject
X1P58N2BFD4	58	X1P58N2BFD4	4	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D4_Feces_inject
X1P58N2BFD7	58	X1P58N2BFD7	7	2B	2	X1	Feces	inject	1213	5	1/29/2016	M	3.7	14	2B	D7_Feces_inject
X1P58N2BID14	58	X1P58N2BID14	14	2B	2	X1	Ileum	inject	1213	5	1/29/2016	M	3.7	14	2B	D14_Ileum_inject
X1P59N3ACD14	59	X1P59N3ACD14	14	3A	3	X1	Colon	oral	1208	1	1/29/2016	F	5.9	14	3A	D14_Colon_oral
X1P59N3AFD11	59	X1P59N3AFD11	11	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D11_Feces_oral
X1P59N3AFD14	59	X1P59N3AFD14	14	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D14_Feces_oral
X1P59N3AFD4	59	X1P59N3AFD4	4	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D4_Feces_oral
X1P59N3AFD7	59	X1P59N3AFD7	7	3A	3	X1	Feces	oral	1208	1	1/29/2016	F	5.9	14	3A	D7_Feces_oral
X1P59N3AID14	59	X1P59N3AID14	14	3A	3	X1	Ileum	oral	1208	1	1/29/2016	F	5.9	14	3A	D14_Ileum_oral
X1P60N3ACD14	60	X1P60N3ACD14	14	3A	3	X1	Colon	oral	1211	2	1/30/2013	M	5.4	14	3A	D14_Colon_oral
X1P60N3AFD0	60	X1P60N3AFD0	0	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D0_Feces_oral
X1P60N3AFD11	60	X1P60N3AFD11	11	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D11_Feces_oral
X1P60N3AFD14	60	X1P60N3AFD14	14	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D14_Feces_oral
X1P60N3AFD7	60	X1P60N3AFD7	7	3A	3	X1	Feces	oral	1211	2	1/30/2013	M	5.4	14	3A	D7_Feces_oral
X1P60N3AID14	60	X1P60N3AID14	14	3A	3	X1	Ileum	oral	1211	2	1/30/2013	M	5.4	14	3A	D14_Ileum_oral
X1P61N3ACD14	61	X1P61N3ACD14	14	3A	3	X1	Colon	oral	1206	1	1/31/2016	F	5.4	14	3A	D14_Colon_oral
X1P61N3AFD11	61	X1P61N3AFD11	11	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D11_Feces_oral
X1P61N3AFD14	61	X1P61N3AFD14	14	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D14_Feces_oral
X1P61N3AFD4	61	X1P61N3AFD4	4	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D4_Feces_oral
X1P61N3AFD7	61	X1P61N3AFD7	7	3A	3	X1	Feces	oral	1206	1	1/31/2016	F	5.4	14	3A	D7_Feces_oral
X1P63N3BCD14	63	X1P63N3BCD14	14	3B	3	X1	Colon	oral	1215	4	1/27/2016	F	6.4	14	3B	D14_Colon_oral
X1P63N3BFD0	63	X1P63N3BFD0	0	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D0_Feces_oral
X1P63N3BFD11	63	X1P63N3BFD11	11	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D11_Feces_oral
X1P63N3BFD14	63	X1P63N3BFD14	14	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D14_Feces_oral
X1P63N3BFD4	63	X1P63N3BFD4	4	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D4_Feces_oral
X1P63N3BFD7	63	X1P63N3BFD7	7	3B	3	X1	Feces	oral	1215	4	1/27/2016	F	6.4	14	3B	D7_Feces_oral
X1P63N3BID14	63	X1P63N3BID14	14	3B	3	X1	Ileum	oral	1215	4	1/27/2016	F	6.4	14	3B	D14_Ileum_oral
X1P64N3BCD14	64	X1P64N3BCD14	14	3B	3	X1	Colon	oral	1214	4	1/30/2016	F	4.2	14	3B	D14_Colon_oral
X1P64N3BFD0	64	X1P64N3BFD0	0	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D0_Feces_oral
X1P64N3BFD11	64	X1P64N3BFD11	11	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D11_Feces_oral
X1P64N3BFD14	64	X1P64N3BFD14	14	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D14_Feces_oral
X1P64N3BFD4	64	X1P64N3BFD4	4	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D4_Feces_oral
X1P64N3BFD7	64	X1P64N3BFD7	7	3B	3	X1	Feces	oral	1214	4	1/30/2016	F	4.2	14	3B	D7_Feces_oral
X1P64N3BID14	64	X1P64N3BID14	14	3B	3	X1	Ileum	oral	1214	4	1/30/2016	F	4.2	14	3B	D14_Ileum_oral
X1P65N3BCD14	65	X1P65N3BCD14	14	3B	3	X1	Colon	oral	1210	5	1/27/2016	M	6.3	14	3B	D14_Colon_oral
X1P65N3BFD0	65	X1P65N3BFD0	0	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D0_Feces_oral
X1P65N3BFD11	65	X1P65N3BFD11	11	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D11_Feces_oral
X1P65N3BFD14	65	X1P65N3BFD14	14	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D14_Feces_oral
X1P65N3BFD4	65	X1P65N3BFD4	4	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D4_Feces_oral
X1P65N3BFD7	65	X1P65N3BFD7	7	3B	3	X1	Feces	oral	1210	5	1/27/2016	M	6.3	14	3B	D7_Feces_oral
X1P65N3BID14	65	X1P65N3BID14	14	3B	3	X1	Ileum	oral	1210	5	1/27/2016	M	6.3	14	3B	D14_Ileum_oral
X1P66N3BCD14	66	X1P66N3BCD14	14	3B	3	X1	Colon	oral	1213	5	1/29/2016	M	4.9	14	3B	D14_Colon_oral
X1P66N3BFD0	66	X1P66N3BFD0	0	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D0_Feces_oral
X1P66N3BFD11	66	X1P66N3BFD11	11	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D11_Feces_oral
X1P66N3BFD14	66	X1P66N3BFD14	14	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D14_Feces_oral
X1P66N3BFD4	66	X1P66N3BFD4	4	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D4_Feces_oral
X1P66N3BFD7	66	X1P66N3BFD7	7	3B	3	X1	Feces	oral	1213	5	1/29/2016	M	4.9	14	3B	D7_Feces_oral
X1P66N3BID14	66	X1P66N3BID14	14	3B	3	X1	Ileum	oral	1213	5	1/29/2016	M	4.9	14	3B	D14_Ileum_oral
